id,name,slug,sku,brand,price,originalPrice,discount,stock,unit,weight,categoryId,categoryName,status,isActive,images,tags,shortDescription,description,detailedDescription,coverImage,featured,bestseller
2026010511,"Fresh Onions – 1kg",fresh-onions-1kg,VEG-003,"GreenField Farms",1.99,,0,150,piece,1,2,Vegetables,active,true,https://images.unsplash.com/photo-1518977956812-cd3dbadaaf31?w=400,"onions,vegetables,fresh,cooking",,"Fresh, firm onions perfect for cooking. Essential ingredient for curries, soups, and everyday cooking. Long shelf life and versatile use.",,https://images.unsplash.com/photo-1518977956812-cd3dbadaaf31?w=400,false,false
2026010512,"Fresh Tomatoes – 1kg",fresh-tomatoes-1kg,VEG-004,"GreenField Farms",2.49,2.99,16.7,100,piece,1,2,Vegetables,active,true,https://images.unsplash.com/photo-1546470427-227ae4b8b7a0?w=400,"tomatoes,vegetables,fresh,vitamins",,"Juicy, ripe tomatoes perfect for salads, cooking, and sauces. Rich in vitamins and antioxidants.",,https://images.unsplash.com/photo-1546470427-227ae4b8b7a0?w=400,true,false
2026010513,"Cumin Seeds – 100g",cumin-seeds-100g,SPICE-003,SpiceWorld,1.99,,0,80,piece,0.1,3,"Spices & Seasonings",active,true,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,"cumin,spices,seeds,aromatic",,"Aromatic cumin seeds with earthy, warm flavor. Essential for Indian, Middle Eastern, and Mexican cuisines.",,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,false,false
2026010514,"Coriander Powder – 200g",coriander-powder-200g,SPICE-004,SpiceWorld,2.49,,0,90,piece,0.2,3,"Spices & Seasonings",active,true,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,"coriander,spices,powder,citrusy",,"Finely ground coriander powder with citrusy, slightly sweet flavor. Perfect for curries, marinades, and spice blends.",,https://images.unsplash.com/photo-1596040033229-a9821ebd058d?w=400,false,false
2026010515,"Coconut Oil – 500ml",coconut-oil-500ml,OIL-003,PureNature,4.99,,0,70,piece,0.5,4,Cooking Oils,active,true,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,"coconut-oil,virgin,cooking,skincare",,"Pure virgin coconut oil with natural aroma. Great for cooking, baking, and skincare.",,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,false,false
2026010516,"Sunflower Oil – 1L",sunflower-oil-1l,OIL-004,PureNature,3.99,4.49,11.1,85,piece,1,4,Cooking Oils,active,true,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,"sunflower-oil,light,vitamin-e,frying",,"Light, neutral-tasting sunflower oil perfect for frying and baking. High in vitamin E.",,https://images.unsplash.com/photo-1474979266404-7eaacbcd87c5?w=400,true,false
2026010517,"Fresh Milk – 1L",fresh-milk-1l,DAIRY-001,FarmFresh,1.99,,0,60,piece,1,5,"Dairy & Eggs",active,true,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,"milk,dairy,fresh,calcium",,"Fresh, whole milk from local farms. Rich in calcium and protein.",,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,false,false
2026010518,"Free Range Eggs – 12 pieces",free-range-eggs-12,DAIRY-002,FarmFresh,3.49,,0,45,piece,0.6,5,"Dairy & Eggs",active,true,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,"eggs,free-range,fresh,protein",,"Farm-fresh free range eggs with rich, golden yolks. Perfect for breakfast and baking.",,https://images.unsplash.com/photo-1550583724-b2692b85b150?w=400,true,false
2026010519,"Fresh Bananas – 1kg",fresh-bananas-1kg,FRUIT-001,TropicalFruits,1.99,,0,75,piece,1,6,Fruits,active,true,https://images.unsplash.com/photo-1610832958506-aa56368176cf?w=400,"bananas,fruits,potassium,fiber",,"Sweet, ripe bananas perfect for snacking or baking. Rich in potassium and fiber.",,https://images.unsplash.com/photo-1610832958506-aa56368176cf?w=400,false,false
2026010520,"Fresh Apples – 1kg",fresh-apples-1kg,FRUIT-002,TropicalFruits,2.99,3.49,14.3,65,piece,1,6,Fruits,active,true,https://images.unsplash.com/photo-1610832958506-aa56368176cf?w=400,"apples,fruits,antioxidants,crisp",,"Crisp, sweet apples perfect for snacking or cooking. Rich in antioxidants.",,https://images.unsplash.com/photo-1610832958506-aa56368176cf?w=400,true,false
2026010521,"Whole Wheat Flour – 2kg",whole-wheat-flour-2kg,STAPLE-001,GoldenGrain,4.99,,0,50,piece,2,1,Staples,active,true,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,"flour,wheat,baking,healthy",,"Premium whole wheat flour perfect for baking bread, rotis, and healthy baked goods.",,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,false,false
2026010522,"Chickpeas (Chana) – 500g",chickpeas-chana-500g,STAPLE-002,FreshHarvest,2.99,,0,85,piece,0.5,1,Staples,active,true,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,"chickpeas,protein,fiber,vegan",,"High-protein chickpeas perfect for curries, salads, and hummus. Rich in fiber and plant protein.",,https://images.unsplash.com/photo-1586201375761-83865001e31c?w=400,true,false
